resolved_openml_id,dataset_name,source_pools,objective_eligible,suspected_issue,evidence,proposed_decision,semantic_decision,semantic_decision_reason,review_status,final_decision
3,kr-vs-kp,openml_cc18,False,,,,,,,EXCLUDE
6,letter,openml_cc18,False,,,,,,,EXCLUDE
11,balance-scale,openml_cc18,False,,,,,,,EXCLUDE
12,mfeat-factors,openml_cc18,False,,,,,,,EXCLUDE
14,mfeat-fourier,openml_cc18,False,,,,,,,EXCLUDE
15,breast-w,openml_cc18,False,,,,,,,EXCLUDE
16,mfeat-karhunen,openml_cc18,False,,,,,,,EXCLUDE
18,mfeat-morphological,openml_cc18,False,,,,,,,EXCLUDE
22,mfeat-zernike,openml_cc18,False,,,,,,,EXCLUDE
23,cmc,openml_cc18,False,,,,,,,EXCLUDE
28,optdigits,openml_cc18,False,,,,,,,EXCLUDE
29,credit-approval,openml_cc18,False,,,,,,,EXCLUDE
30,page-blocks,climb,False,,,,,,,EXCLUDE
31,credit-g,openml_cc18,False,,,,,,,EXCLUDE
32,pendigits,openml_cc18,False,,,,,,,EXCLUDE
37,diabetes,openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,EXCLUDE
38,sick,openml_cc18,False,,,,,,,EXCLUDE
43,haberman,climb,False,,,,,,,EXCLUDE
44,spambase,openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
46,splice,openml_cc18,False,,,,,,,EXCLUDE
50,tic-tac-toe,openml_cc18,False,,,,,,,EXCLUDE
54,vehicle,openml_cc18,False,,,,,,,EXCLUDE
151,electricity,openml_cc18,False,,,,,,,EXCLUDE
182,satimage,openml_cc18,False,,,,,,,EXCLUDE
188,eucalyptus,openml_cc18,False,,,,,,,EXCLUDE
300,isolet,openml_cc18,False,,,,,,,EXCLUDE
307,vowel,openml_cc18,False,,,,,,,EXCLUDE
310,mammography,climb,False,,,,,,,EXCLUDE
458,analcatdata_authorship,openml_cc18,False,,,,,,,EXCLUDE
469,analcatdata_dmft,openml_cc18,False,,,,,,,EXCLUDE
554,mnist_784,openml_cc18,False,,,,,,,EXCLUDE
733,machine_cpu,climb,False,,,,,,,EXCLUDE
735,cpu_small,climb,False,,,,,,,EXCLUDE
796,cpu,climb,False,,,,,,,EXCLUDE
821,house_16H,climb,False,,,,,,,EXCLUDE
833,bank32nh,climb,False,,,,,,,EXCLUDE
843,house_8L,climb,False,,,,,,,EXCLUDE
846,elevators,climb,False,,,,,,,EXCLUDE
949,arsenic-female-bladder,climb,False,,,,,,,EXCLUDE
971,mfeat-fourier,climb,False,,,,,,,EXCLUDE
976,JapaneseVowels,climb,False,,,,,,,EXCLUDE
977,letter,climb,False,,,,,,,EXCLUDE
980,optdigits,climb,False,,,,,,,EXCLUDE
994,vehicle,climb,False,,,,,,,EXCLUDE
995,mfeat-zernike,climb,False,,,,,,,EXCLUDE
1016,vowel,climb,False,,,,,,,EXCLUDE
1019,pendigits,climb,False,,,,,,,EXCLUDE
1020,mfeat-karhunen,climb,False,,,,,,,EXCLUDE
1021,page-blocks,climb,False,,,,,,,EXCLUDE
1046,mozilla4,climb,False,,,,,,,EXCLUDE
1049,pc4,climb;openml_cc18,False,,,,,,,EXCLUDE
1050,pc3,climb;openml_cc18,False,,,,,,,EXCLUDE
1053,jm1,openml_cc18,False,,,,,,,EXCLUDE
1054,mc2,climb,False,,,,,,,EXCLUDE
1063,kc2,openml_cc18,False,,,,,,,EXCLUDE
1067,kc1,climb;openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
1068,pc1,climb;openml_cc18,False,,,,,,,EXCLUDE
1217,Click_prediction_small,climb,False,,,,,,,EXCLUDE
1461,bank-marketing,openml_cc18,False,,,,,,,EXCLUDE
1462,banknote-authentication,openml_cc18,False,,,,,,,EXCLUDE
1464,blood-transfusion-service-center,climb;openml_cc18,False,,,,,,,EXCLUDE
1468,cnae-9,openml_cc18,False,,,,,,,EXCLUDE
1475,first-order-theorem-proving,climb;openml_cc18,False,,,,,,,EXCLUDE
1478,har,openml_cc18,False,,,,,,,EXCLUDE
1480,ilpd,openml_cc18,False,,,,,,,EXCLUDE
1485,madelon,openml_cc18,False,,,,,,,EXCLUDE
1486,nomao,openml_cc18,False,,,,,,,EXCLUDE
1487,ozone-level-8hr,climb;openml_cc18,False,,,,,,,EXCLUDE
1489,phoneme,climb;openml_cc18,True,,,,KEEP,ELENA phoneme representation contains no usable speaker/group identifier; conventionally evaluated as IID in tabular benchmarking.,METHODOLOGICAL_KEEP_RECORDED,KEEP
1490,planning-relax,climb,False,,,,,,,EXCLUDE
1494,qsar-biodeg,openml_cc18,True,,,,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR,KEEP
1497,wall-robot-navigation,openml_cc18,False,,,,,,,EXCLUDE
1501,semeion,openml_cc18,False,,,,,,,EXCLUDE
1506,thoracic-surgery,climb,False,,,,,,,EXCLUDE
1508,user-knowledge,climb,False,,,,,,,EXCLUDE
1509,walking-activity,climb,False,,,,,,,EXCLUDE
1510,wdbc,openml_cc18,False,,,,,,,EXCLUDE
1511,wholesale-customers,climb,False,,,,,,,EXCLUDE
1524,vertebra-column,climb,False,,,,,,,EXCLUDE
1558,bank-marketing,climb,False,,,,,,,EXCLUDE
1565,heart-h,climb,False,,,,,,,EXCLUDE
