resolved_openml_id,source_pools,source_dataset_ids,dataset_name,openml_version,retrieval_timestamp_utc,prefilter_skip,prefilter_reason,description_excerpt,objective_eligible,error,fail_stage,target_name,class_labels,minority_label,majority_label,n_rows,n_source_features,n_numeric,n_categorical,n_continuous,n_integer_valued_numeric,missing_indicator_count,n_encoded_features,n_minority,n_majority,minority_prevalence,missing_fraction,max_balanced_train_size,raw_checksum,objective_checks_json,dtype_disagreement,dtype_disagreement_json,prevalence_upper_bound_used,check_binary,check_rows_in_range,check_has_continuous,check_prevalence_ge_0_02,check_prevalence_le_upper,check_minority_count_ge_250,check_missing_lt_10pct,check_encoded_features_le_100,check_tabpfn_envelope_balanced_train_le_10000
30,climb,climb:30,page-blocks,1,2026-08-31T21:14:16.218402+00:00,True,quality_not_binary:5.0,"**Author**:   
**Source**: Unknown -   
**Please cite**:   

1. Title of Database: Blocks Classification
 2. Sources:
    (a) Donato Malerba
        Dipartimento di Informatica
        University of Bari
        via Orabona 4
        70126 Bari - Italy
        phone: +39 - 80 - 5443269
        fax: +39 - 80 - 5443196
        malerbad@vm.csata.it
    (b) Donor: Donato Malerba
    (c) Date: July 1995
 3. Past Usage:
    This data set have been used to try different simplification methods
    for decision trees. A summary of the results can be found in:
 
    Malerba, D., Esposito, F., and Semeraro, G.
    ""A Further Comparison of Simplification Methods for Decision-Tree Induction.""
    In D. Fisher and H. Lenz (Eds.), ""Learning  from Data: 
    Artificial Intelligence and Statistics V"", Lect",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,climb,climb:43,haberman,1,2026-08-31T21:14:16.219575+00:00,True,quality_rows_out_of_range:306.0,"**Author**:   
**Source**: Unknown -   
**Please cite**:   

1. Title: Haberman's Survival Data
 
 2. Sources:
    (a) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
    (b) Date:    March 4, 1999
 
 3. Past Usage:
    1. Haberman, S. J. (1976). Generalized Residuals for Log-Linear
       Models, Proceedings of the 9th International Biometrics
       Conference, Boston, pp. 104-122.
    2. Landwehr, J. M., Pregibon, D., and Shoemaker, A. C. (1984),
       Graphical Models for Assessing Logistic Regression Models (with
       discussion), Journal of the American Statistical Association 79:
       61-83.
    3. Lo, W.-D. (1993). Logistic Regression Trees, PhD thesis,
       Department of Statistics, University of Wisconsin, Madison, WI.
 
 4. Relevant Information:
    The dataset contains cases",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,climb,climb:310,mammography,1,2026-08-31T21:14:16.220635+00:00,True,quality_rows_out_of_range:11183.0,"**Author**:   
  
**Source**: Unknown -   
**Please cite**:   

Mammography dataset

Past Usage:
1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C.,",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,climb,climb:733,machine_cpu,2,2026-08-31T21:14:16.221630+00:00,True,quality_rows_out_of_range:209.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,climb,climb:735,cpu_small,3,2026-08-31T21:14:16.222637+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",True,,,binaryClass,P|N,P,N,8192.0,12.0,12.0,0.0,3.0,9.0,0.0,12.0,2477.0,5715.0,0.3023681640625,0.0,5714.0,7c86df873b6815ef37c5d303616a641c9a674a455d9531f0a36fe4d8d8514ff7,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,True,True,True,True
796,climb,climb:796,cpu,2,2026-08-31T21:14:16.286787+00:00,True,quality_rows_out_of_range:209.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,climb,climb:821,house_16H,2,2026-08-31T21:14:16.287956+00:00,True,quality_rows_out_of_range:22784.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,climb,climb:833,bank32nh,2,2026-08-31T21:14:16.289020+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",True,,,binaryClass,P|N,N,P,8192.0,32.0,32.0,0.0,28.0,4.0,0.0,32.0,2543.0,5649.0,0.3104248046875,0.0,5650.0,3dfceb468ac8f3942255d56a82a68ed63a6cb50f74d77e070ce067e3eb884213,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,True,True,True,True
843,climb,climb:843,house_8L,2,2026-08-31T21:14:16.359660+00:00,True,quality_rows_out_of_range:22784.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,climb,climb:846,elevators,2,2026-08-31T21:14:16.360809+00:00,True,quality_rows_out_of_range:16599.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,climb,climb:949,arsenic-female-bladder,2,2026-08-31T21:14:16.361843+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,N,P,559.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,80.0,479.0,0.14311270125223613,0.0,480.0,1f5c07636c5e47b514eb292084e7855ae8d08df2dba72b5bf0be01cb7826a828,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,False,True,True,True
971,climb,climb:971,mfeat-fourier,2,2026-08-31T21:14:16.378855+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,2000.0,76.0,76.0,0.0,76.0,0.0,0.0,76.0,200.0,1800.0,0.1,0.0,1800.0,93568e6efa526bdaa4aa819782809eb3dc78f2121243e45cc753a7209d7e1697,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,False,True,True,True
976,climb,climb:976,JapaneseVowels,2,2026-08-31T21:14:16.420822+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",True,,,binaryClass,P|N,P,N,9961.0,14.0,14.0,0.0,12.0,2.0,0.0,14.0,1614.0,8347.0,0.16203192450557172,0.0,8346.0,dc7353d32beddb7ffbf2ffb59279f2f72e0973388fe46485f954c0bd64783fb7,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,True,True,True,True
977,climb,climb:977,letter,2,2026-08-31T21:14:16.483180+00:00,True,quality_rows_out_of_range:20000.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,climb,climb:980,optdigits,2,2026-08-31T21:14:16.484379+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,5620.0,64.0,64.0,0.0,0.0,64.0,0.0,64.0,572.0,5048.0,0.10177935943060498,0.0,5048.0,a262f659c5b42018a958bc3e271b2e936872db76319aeea0c075864867a3c2d9,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": false, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,False,True,True,True,True,True,True
994,climb,climb:994,vehicle,2,2026-08-31T21:14:16.535615+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,846.0,18.0,18.0,0.0,0.0,18.0,0.0,18.0,218.0,628.0,0.2576832151300236,0.0,628.0,8b22407280feae166acd275a8c7fe192501702037ebbfa1a39cb9919276f8a79,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": false, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,False,True,True,False,True,True,True
995,climb,climb:995,mfeat-zernike,2,2026-08-31T21:14:16.555910+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,2000.0,47.0,47.0,0.0,47.0,0.0,0.0,47.0,200.0,1800.0,0.1,0.0,1800.0,620a175dee276fff8fe7706fdf102b9fc0ae0473328ac319541f361852b46b70,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,False,True,True,True
1016,climb,climb:1016,vowel,3,2026-08-31T21:14:16.589514+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,990.0,12.0,10.0,2.0,10.0,0.0,0.0,12.0,90.0,900.0,0.09090909090909091,0.0,900.0,343760cc2bf879bfce24f45e49d70e525aec2f7db7afc5bb820c65c5b4cc04db,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,False,True,True,True
1019,climb,climb:1019,pendigits,2,2026-08-31T21:14:16.609426+00:00,True,quality_rows_out_of_range:10992.0,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,prefilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,climb,climb:1020,mfeat-karhunen,2,2026-08-31T21:14:16.610518+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",False,,objective,binaryClass,P|N,P,N,2000.0,64.0,64.0,0.0,64.0,0.0,0.0,64.0,200.0,1800.0,0.1,0.0,1800.0,0187f507eb82c451a9fc970388a1ee609d244499bd7c2d9210f29bfb4f2c2101,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,False,True,True,True
1021,climb,climb:1021,page-blocks,2,2026-08-31T21:14:16.646524+00:00,False,,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). The multi-class target feature is converted to a two-class nominal target feature by re-labeling the majority class as positive ('P') and all others as negative ('N'). Originally converted by Quan Sun.",True,,,binaryClass,P|N,N,P,5473.0,10.0,10.0,0.0,4.0,6.0,0.0,10.0,560.0,4913.0,0.10232048236798831,0.0,4912.0,e9aa6d4289bba90de869e348b1467b5acf8c688bc8d7542476a1ddbfb3d2124b,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": true, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true}",False,[],0.5,True,True,True,True,True,True,True,True,True
