resolved_openml_id,dataset_name,source_pool,objective_eligible,suspected_issue,evidence,proposed_decision,decision,decision_reason,review_status
30,page-blocks,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
43,haberman,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
310,mammography,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
733,machine_cpu,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
735,cpu_small,climb,True,,,KEEP,KEEP,climb_official_list_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR
796,cpu,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
821,house_16H,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
833,bank32nh,climb,True,,,KEEP,KEEP,climb_official_list_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR
843,house_8L,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
846,elevators,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
949,arsenic-female-bladder,climb,False,,,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
971,mfeat-fourier,climb,False,,,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
976,JapaneseVowels,climb,True,,,KEEP,KEEP,climb_official_list_no_semantic_keyword_hits,PROPOSED_KEEP_METADATA_CLEAR
977,letter,climb,False,J_unclear_provenance,J_unclear_provenance:OpenML categorical_indicator vs observed dtype disagreement,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
980,optdigits,climb,False,,,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
994,vehicle,climb,False,,,EXCLUDE,EXCLUDE,failed_objective_filters,N/A_OBJECTIVE_FAIL
